t;p
252.85764;0.9893539
255.50882;0.99746543
515.6572;0.9305441
1584.4198;0.74904376
1627.8331;0.88187015
3246.7185;0.65778184
3600;0.65849387
7200;0.583333333
10800;0.494929006
14400;0.421276596
18000;0.398230088
21600;0.381434416
25200;0.388349515
28800;0.333333333
33120;0.345107016
36720;0.287932105
40320;0.301394679
43920;0.348280207
47520;0.303941456
51120;0.25112204
54720;0.280058982
58320;0.244458647
61920;0.275001473
65520;0.22332508
69120;0.282573883
72720;0.225278303
73891.43;0.22148788
76155.55;0.24581295
76320;0.246619399
78963.164;0.20727125
79920;0.205557463
82897.2;0.16365507
83520;0.166678567
87120;0.153039832
90720;0.151515152
94320;0.238921002
97862.195;0.21834478
97920;0.225140713
99819.445;0.16662541
101520;0.169707033
105120;0.156133829
108720;0.186219739
109130.1;0.17875339
112320;0.229906542
115920;0.228571429
119520;0.287356322
123120;0.1536056
123785.91;0.15030107
126720;0.186813187
126898.734;0.1827341
129998.98;0.17663734
130320;0.175054705
133920;0.10989011
137326.22;0.1603833
137520;0.165789474
141120;0.128947368
141263.56;0.12690654
144720;0.163588391
146899.67;0.11370147
148320;0.118733509
151920;0.092348285
154511.6;0.10555776
155520;0.107896632
159120;0.100795756
159302.95;0.09641203
162720;0.071167883
166320;0.146252285
169182.97;0.1247607
169920;0.127272727
172560.92;0.10548151
173520;0.112359551
176494.95;0.061865337
177120;0.065913371
180720;0.063339731
184320;0.068430847
184392.53;0.0648738
187920;0.065891473
188059.47;0.066886194
191520;0.051181102
195120;0.061143984
198720;0.098876404
202320;0.088298993
205262.06;0.06478563
205920;0.072316349
209520;0.103686636
213120;0.067264574
214003.72;0.06170687
216720;0.072972973
220205.52;0.053569127
220320;0.060402685
223920;0.081761006
227520;0.050549451
227817.77;0.046439365
231120;0.033138402
232323.47;0.026141467
234588.25;0.052494418
234720;0.057425743
238252.53;0.04639528
238320;0.044666524
241920;0.048828125
242199.83;0.043336775
244453.02;0.034201767
245520;0.041176471
249120;0.060903733
249252;0.048376694
252720;0.059405941
254330.03;0.05342496
256320;0.069767442
259920;0.041666667
259963.83;0.033122294
263520;0.047887324
263633.75;0.044260163
266449.97;0.03208095
267120;0.037249284
270720;0.042613636
273785.5;0.041175447
274320;0.046195652
277920;0.031609195
281520;0.034682081
285120;0.033372971
